#Gene Level Annotation Report
#2023-11-15 03:23:36.667571
#CRAVAT version: hybrid
#Analysis done at http://www.cravat.us.
#Job Id: au198_20231114_215211
#Input file: ERR2348724.sorted.indexed.flagged_1_.vcf
#This report shows analysis results at gene level.
#The composite p-value (Stouffer's combined p-value) and composite FDR of a gene show how probable it is to get the same p-value distribution for the gene as that obtained from the input variants by chance.
#hg19 genomic.
#N/A
#For more information on CRAVAT, visit http://www.cravat.us.

HUGO symbol	Number of variants	Sequence ontology	CGC driver class	CGC inheritance	CGC tumor types somatic	CGC tumor types germline	ClinVar disease identifier	ClinVar XRef	Occurrences in COSMIC	COSMIC gene count (tissue)	Number of samples with gene mutated	GeneCards summary (from http://www.genecards.org)	PubMed article count	PubMed search term	CHASM gene score	CHASM gene p-value	CHASM gene FDR	VEST gene score (non-silent)	VEST gene p-value	VEST gene FDR	Protein 3D gene	Has a mutation in a TCGA Mutation Cluster	NCI pathway hits	NCI pathway IDs	NCI pathway names	TARGET	CGL driver class
FHL5	5	MS							167	thyroid(4);upper_aerodigestive_tract(1);large_intestine(24);NS(1);autonomic_ganglia(1);soft_tissue(3);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(7);biliary_tract(2);endometrium(11);urinary_tract(3);oesophagus(9);liver(8);skin(43);stomach(8);lung(21);ovary(2);pancreas(5);prostate(6);kidney(3);breast(4)	1	 The protein encoded by this gene is coordinately expressed with activator of cAMP-responsive element modulator	1	http://www.ncbi.nlm.nih.gov/pubmed?term=FHL5[TIAB]+AND+cancer[TIAB]				0.384	0.482787288287147	1	../MuPIT_Interactive?gm=chr6:96610677,chr6:96615646						
GPR63	1	SY							157	upper_aerodigestive_tract(2);cervix(1);biliary_tract(1);stomach(5);soft_tissue(1);central_nervous_system(2);pancreas(3);small_intestine(1);haematopoietic_and_lymphoid_tissue(2);large_intestine(22);endometrium(6);urinary_tract(2);oesophagus(18);liver(7);skin(52);lung(14);ovary(3);NS(6);prostate(2);kidney(3);breast(4)	1	 This gene encodes a G protein-coupled receptor. Multiple alternatively spliced variants, encoding the same	2	http://www.ncbi.nlm.nih.gov/pubmed?term=GPR63[TIAB]+AND+cancer[TIAB]													
NDUFAF4	1	SY					C1838979	OMIM:252010	28	large_intestine(7);stomach(1);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(1);endometrium(2);lung(3);breast(1);skin(5);ovary(2);kidney(1);liver(4)	1	 NADH:ubiquinone oxidoreductase (complex I) catalyzes the transfer of electrons from NADH to ubiquinone (coenzyme	0														
KLHL32	1	SY							189	upper_aerodigestive_tract(2);thyroid(1);large_intestine(32);stomach(18);soft_tissue(4);pancreas(3);small_intestine(1);haematopoietic_and_lymphoid_tissue(6);biliary_tract(4);endometrium(9);autonomic_ganglia(1);urinary_tract(6);lung(17);breast(7);skin(49);oesophagus(3);ovary(4);NS(5);prostate(2);kidney(6);liver(9)	1	No GeneCards annotation	0														
MMS22L	3	MS							223	large_intestine(39);endometrium(20);lung(23);skin(25);kidney(11);cervix(4);central_nervous_system(5);oesophagus(7);NS(5);upper_aerodigestive_tract(3);biliary_tract(5);stomach(19);soft_tissue(4);urinary_tract(6);breast(8);prostate(4);pancreas(6);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(9);ovary(3);bone(1);liver(15)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=MMS22L[TIAB]+AND+cancer[MH]				0.227	0.673527433441457	1							
POU3F2	1	SY							102	upper_aerodigestive_tract(3);cervix(1);large_intestine(36);stomach(11);soft_tissue(2);genital_tract(1);small_intestine(2);haematopoietic_and_lymphoid_tissue(1);biliary_tract(2);endometrium(5);oesophagus(5);liver(9);skin(7);lung(8);ovary(1);prostate(1);breast(3);pancreas(4)	1	 This gene encodes a member of the POU-III class of neural transcription factors. The encoded protein is involved	11	http://www.ncbi.nlm.nih.gov/pubmed?term=POU3F2[TIAB]+AND+cancer[MH]													
FBXL4	2	MS					C3809592	OMIM:615471	114	upper_aerodigestive_tract(2);cervix(2);large_intestine(26);stomach(3);soft_tissue(1);central_nervous_system(2);pancreas(2);small_intestine(2);haematopoietic_and_lymphoid_tissue(1);biliary_tract(1);endometrium(13);lung(7);liver(13);skin(17);oesophagus(5);ovary(1);NS(1);prostate(6);kidney(2);breast(7)	1	 This gene encodes a member of the F-box protein family, which are characterized by an approximately 40 amino acid	0					0.071	0.88584	1							
FAXC	1	SY									1	No GeneCards annotation	0														
COQ3	3	MS							75	upper_aerodigestive_tract(7);cervix(3);large_intestine(13);stomach(9);soft_tissue(4);central_nervous_system(2);haematopoietic_and_lymphoid_tissue(3);kidney(1);endometrium(5);urinary_tract(2);oesophagus(2);liver(5);skin(9);lung(5);ovary(1);prostate(1);bone(1);breast(2)	1	 Ubiquinone, also known as coenzyme Q, or Q, is a critical component of the electron transport pathways of both	0					0.202	0.837328276934563	1	../MuPIT_Interactive?gm=chr6:99369725,chr6:99371503,chr6:99377472						
USP45	3	MS							165	large_intestine(33);pleura(1);endometrium(22);lung(2);skin(12);kidney(9);thyroid(2);cervix(1);central_nervous_system(3);oesophagus(2);NS(4);upper_aerodigestive_tract(3);biliary_tract(2);stomach(13);soft_tissue(3);urinary_tract(2);liver(6);prostate(14);pancreas(5);haematopoietic_and_lymphoid_tissue(8);ovary(2);breast(16)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=USP45[TIAB]+AND+cancer[MH]				0.464	0.844125099731689	1	../MuPIT_Interactive?gm=chr6:99435828,chr6:99508684						
PRDM13	1	II							185	large_intestine(36);endometrium(8);lung(16);skin(22);autonomic_ganglia(1);kidney(8);thyroid(6);central_nervous_system(5);oesophagus(13);NS(5);upper_aerodigestive_tract(4);biliary_tract(1);stomach(16);soft_tissue(8);urinary_tract(3);liver(8);prostate(6);pancreas(3);small_intestine(1);haematopoietic_and_lymphoid_tissue(3);ovary(1);bone(4);breast(7)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=PRDM13[TIAB]+AND+cancer[MH]				0.02	0.93183	1							
SIM1	2	MS					C0028754	GeneTests:Obesity;OMIM:601665	402	large_intestine(70);endometrium(23);lung(39);skin(89);autonomic_ganglia(1);kidney(4);thyroid(2);cervix(2);central_nervous_system(22);oesophagus(19);NS(10);upper_aerodigestive_tract(9);biliary_tract(2);stomach(32);soft_tissue(9);urinary_tract(11);breast(13);prostate(7);pancreas(2);haematopoietic_and_lymphoid_tissue(9);ovary(6);bone(3);liver(18)	1	 SIM1 and SIM2 genes are Drosophila single-minded (sim) gene homologs. SIM1 transcript was detected only in fetal kidney  out of various adult and fetal tissues tested. Since the sim gene plays an important role in Drosophila development  and has peak levels of expression during the period of neurogenesis,it was proposed that the human SIM gene is a  candidate for involvement in certain dysmorphic features (particularly the facial and skull characteristics),  abnormalities of brain development, and/or mental retardation of Down syndrome. (provided by RefSeq)	7	http://www.ncbi.nlm.nih.gov/pubmed?term=SIM1[TIAB]+AND+cancer[MH]				0.11	0.97358409422095	1							
ASCC3	4	MS							486	large_intestine(95);endometrium(42);lung(37);skin(64);kidney(8);thyroid(1);cervix(2);central_nervous_system(8);oesophagus(25);NS(7);upper_aerodigestive_tract(12);biliary_tract(5);stomach(44);soft_tissue(10);urinary_tract(10);breast(16);prostate(16);pancreas(13);adrenal_gland(1);salivary_gland(2);small_intestine(4);haematopoietic_and_lymphoid_tissue(13);ovary(11);bone(4);liver(36)	1	 This gene encodes a protein that belongs to a family of helicases that are involved in the ATP-dependent unwinding	2	http://www.ncbi.nlm.nih.gov/pubmed?term=ASCC3[TIAB]+AND+cancer[MH]				0.068	0.963136917660551	1							
GRIK2	2	SY					C1970198	OMIM:611092	491	large_intestine(104);endometrium(17);lung(44);skin(91);autonomic_ganglia(1);kidney(12);thyroid(2);central_nervous_system(2);oesophagus(29);NS(17);upper_aerodigestive_tract(17);biliary_tract(6);stomach(36);soft_tissue(10);urinary_tract(10);liver(17);prostate(7);pancreas(12);adrenal_gland(2);small_intestine(1);haematopoietic_and_lymphoid_tissue(19);ovary(8);bone(1);breast(26)	1	 Glutamate receptors are the predominant excitatory neurotransmitter receptors in the mammalian brain and are	8	http://www.ncbi.nlm.nih.gov/pubmed?term=GRIK2[TIAB]+AND+cancer[MH]													
PREP	1	SY							159	large_intestine(28);peritoneum(1);endometrium(13);lung(14);skin(21);autonomic_ganglia(1);kidney(8);thyroid(1);cervix(2);central_nervous_system(5);oesophagus(7);upper_aerodigestive_tract(5);biliary_tract(2);stomach(10);soft_tissue(3);urinary_tract(6);liver(7);prostate(3);pancreas(3);haematopoietic_and_lymphoid_tissue(6);ovary(4);bone(1);breast(8)	1	 The protein encoded by this gene is a cytosolic prolyl endopeptidase that cleaves peptide bonds on the C-terminal	165	http://www.ncbi.nlm.nih.gov/pubmed?term=PREP[TIAB]+AND+cancer[MH]													
PRDM1	2	MS							364	large_intestine(34);endometrium(16);lung(11);skin(80);stomach(17);kidney(2);thyroid(4);cervix(2);central_nervous_system(4);oesophagus(13);NS(10);upper_aerodigestive_tract(4);biliary_tract(4);autonomic_ganglia(1);soft_tissue(14);urinary_tract(9);breast(20);prostate(2);pancreas(6);adrenal_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(71);ovary(4);bone(3);liver(31)	1	 This gene encodes a protein that acts as a repressor of beta-interferon gene expression. The protein binds	66	http://www.ncbi.nlm.nih.gov/pubmed?term=PRDM1[TIAB]+AND+cancer[MH]				0.224	0.66821935361598	1	../MuPIT_Interactive?gm=chr6:106088378,chr6:106099497						TSG
AIM1	7	MS							352	large_intestine(56);endometrium(34);lung(20);skin(72);autonomic_ganglia(1);kidney(16);thyroid(5);cervix(7);central_nervous_system(20);oesophagus(15);NS(7);upper_aerodigestive_tract(8);biliary_tract(3);stomach(11);soft_tissue(6);urinary_tract(8);liver(17);prostate(11);pituitary(1);pancreas(2);haematopoietic_and_lymphoid_tissue(4);thymus(1);ovary(5);bone(1);breast(21)	1	No GeneCards annotation	194	http://www.ncbi.nlm.nih.gov/pubmed?term=AIM1[MH]+AND+cancer[TIAB]				0.127	0.972458379163758	1	../MuPIT_Interactive?gm=chr6:106539495,chr6:106551947						
QRSL1	1	SY							82	upper_aerodigestive_tract(1);thyroid(1);large_intestine(18);stomach(6);cervix(1);haematopoietic_and_lymphoid_tissue(2);breast(1);biliary_tract(1);endometrium(6);urinary_tract(2);lung(8);liver(4);skin(18);oesophagus(2);NS(2);prostate(2);bone(1);kidney(4);pancreas(2)	1	No GeneCards annotation	0														
SOBP	1	MS					C3150924	OMIM:613671	184	large_intestine(53);endometrium(9);lung(10);skin(26);kidney(4);thyroid(3);cervix(1);central_nervous_system(1);oesophagus(6);NS(6);upper_aerodigestive_tract(5);stomach(13);soft_tissue(5);liver(11);prostate(9);pancreas(4);adrenal_gland(2);haematopoietic_and_lymphoid_tissue(5);thymus(1);ovary(3);bone(1);breast(6)	1	 The protein encoded by this gene is a nuclear zinc finger protein that is involved in development of the cochlea.	46	http://www.ncbi.nlm.nih.gov/pubmed?term=SOBP[TIAB]+AND+cancer[MH]				0.067	0.89859	1							
SCML4	3	MS							111	thyroid(2);cervix(2);large_intestine(21);stomach(9);central_nervous_system(1);kidney(1);upper_aerodigestive_tract(5);autonomic_ganglia(1);haematopoietic_and_lymphoid_tissue(1);biliary_tract(2);endometrium(5);lung(5);breast(6);skin(32);soft_tissue(1);ovary(5);NS(1);prostate(7);bone(2);pancreas(2)	1	No GeneCards annotation	0					0.535	0.236994748955334	1	../MuPIT_Interactive?gm=chr6:107746799						
SEC63	2	MS					C0158683	OMIM:174050;SNOMED CT:Congenital cystic disease of liver	186	large_intestine(48);endometrium(16);lung(9);skin(20);kidney(4);thyroid(2);cervix(2);central_nervous_system(4);oesophagus(6);NS(5);upper_aerodigestive_tract(7);biliary_tract(6);stomach(15);soft_tissue(2);urinary_tract(5);liver(8);prostate(3);pancreas(5);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(3);ovary(4);bone(2);breast(9)	1	 The Sec61 complex is the central component of the protein translocation apparatus of the endoplasmic reticulum	22	http://www.ncbi.nlm.nih.gov/pubmed?term=SEC63[TIAB]+AND+cancer[MH]				0.027	0.97956	1							
FOXO3	1	SY							153	large_intestine(10);endometrium(5);lung(8);skin(15);kidney(5);thyroid(5);testis(1);central_nervous_system(22);oesophagus(1);NS(2);upper_aerodigestive_tract(5);biliary_tract(2);stomach(10);soft_tissue(10);urinary_tract(2);breast(7);prostate(6);pancreas(6);salivary_gland(1);haematopoietic_and_lymphoid_tissue(12);thymus(1);ovary(3);bone(3);liver(11)	1	 This gene belongs to the forkhead family of transcription factors which are characterized by a distinct forkhead	56	http://www.ncbi.nlm.nih.gov/pubmed?term=FOXO3[TIAB]+AND+cancer[MH]													
CDC40	1	MS							100	upper_aerodigestive_tract(1);large_intestine(23);stomach(11);soft_tissue(2);central_nervous_system(1);endometrium(9);urinary_tract(1);oesophagus(6);liver(8);skin(13);lung(9);ovary(1);pancreas(3);prostate(2);kidney(3);breast(7)	1	 Pre-mRNA splicing occurs in two sequential transesterification steps. The protein encoded by this gene is found to be  essential for the catalytic step II in pre-mRNA splicing process. It is found in the spliceosome, and contains seven  WD repeats, which function in protein-protein interactions. This protein has a sequence similarity to yeast Prp17  protein, which functions in two different cellular processes: pre-mRNA splicing and cell cycle progression. It  suggests that this protein may play a role in cell cycle progression. (provided by RefSeq)	0					0.761	0.04615	1	../MuPIT_Interactive?gm=chr6:110215286						
METTL24	1	MS									1	No GeneCards annotation	0					0.032	0.97348	1							
DDO	1	MS							133	upper_aerodigestive_tract(4);cervix(2);large_intestine(13);stomach(8);soft_tissue(1);central_nervous_system(8);haematopoietic_and_lymphoid_tissue(5);liver(7);biliary_tract(2);endometrium(9);lung(11);breast(5);skin(38);oesophagus(2);ovary(4);NS(3);prostate(3);bone(1);kidney(2);pancreas(5)	1	 The protein encoded by this gene is a peroxisomal flavoprotein that catalyzes the oxidative deamination of D-aspartate  and N-methyl D-aspartate. Flavin adenine dinucleotide or 6-hydroxyflavin adenine dinucleotide can serve as the  cofactor in this reaction. Two transcript variants encoding different isoforms have been found for this gene.  (provided by RefSeq)	9	http://www.ncbi.nlm.nih.gov/pubmed?term=DDO[TIAB]+AND+cancer[MH]				0.047	0.9493	1							
KIAA1919	1	SY							103	upper_aerodigestive_tract(4);cervix(2);large_intestine(24);autonomic_ganglia(1);soft_tissue(1);small_intestine(2);haematopoietic_and_lymphoid_tissue(1);breast(3);biliary_tract(2);endometrium(3);lung(7);liver(14);skin(13);stomach(8);oesophagus(2);ovary(5);prostate(5);kidney(4);pancreas(2)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=KIAA1919[TIAB]+AND+cancer[MH]													
REV3L	5	MS							521	large_intestine(117);endometrium(43);lung(23);skin(57);autonomic_ganglia(3);kidney(22);thyroid(3);cervix(3);central_nervous_system(3);genital_tract(1);oesophagus(27);NS(8);upper_aerodigestive_tract(15);biliary_tract(6);stomach(47);soft_tissue(7);urinary_tract(14);breast(33);prostate(20);pancreas(8);small_intestine(1);haematopoietic_and_lymphoid_tissue(14);ovary(3);bone(6);liver(37)	1	No GeneCards annotation	6	http://www.ncbi.nlm.nih.gov/pubmed?term=REV3L[TIAB]+AND+cancer[MH]				0.08	0.85528	1							
TRAF3IP2	2	MS					C3279754	OMIM:614070	101	upper_aerodigestive_tract(4);cervix(2);large_intestine(17);stomach(8);soft_tissue(5);central_nervous_system(2);adrenal_gland(2);autonomic_ganglia(1);haematopoietic_and_lymphoid_tissue(6);breast(3);endometrium(6);urinary_tract(6);oesophagus(5);liver(11);skin(5);lung(6);ovary(2);NS(1);prostate(4);kidney(3);pancreas(2)	1	 This gene encodes a protein involved in regulating responses to cytokines by members of the Rel/NF-kappaB	0					0.374	0.774173833457389	1							
LAMA4	5	MS					C3808935	OMIM:615235	475	large_intestine(88);pleura(1);endometrium(26);lung(49);skin(65);kidney(16);thyroid(6);cervix(3);central_nervous_system(3);genital_tract(2);oesophagus(21);NS(13);upper_aerodigestive_tract(13);biliary_tract(7);stomach(35);soft_tissue(6);urinary_tract(23);breast(22);prostate(14);pancreas(16);small_intestine(2);haematopoietic_and_lymphoid_tissue(18);ovary(4);bone(2);liver(20)	1	 Laminins, a family of extracellular matrix glycoproteins, are the major noncollagenous constituent of basement	5	http://www.ncbi.nlm.nih.gov/pubmed?term=LAMA4[TIAB]+AND+cancer[MH]				0.607	0.682105030912836	1	../MuPIT_Interactive?gm=chr6:112136188,chr6:112142243						
HS3ST5	1	SY							162	large_intestine(23);endometrium(11);lung(18);skin(32);kidney(4);thyroid(3);cervix(1);oesophagus(8);NS(4);upper_aerodigestive_tract(4);biliary_tract(1);stomach(9);soft_tissue(3);urinary_tract(1);breast(9);prostate(6);pancreas(6);small_intestine(1);haematopoietic_and_lymphoid_tissue(6);ovary(2);bone(1);liver(9)	1	 HS3ST5 belongs to a group of heparan sulfate 3-O-sulfotransferases (EC 2.8.2.23) that transfer sulfate from	0														
FRK	2	MS							153	large_intestine(16);endometrium(18);lung(19);skin(31);kidney(1);cervix(2);central_nervous_system(6);oesophagus(4);parathyroid(1);NS(6);upper_aerodigestive_tract(3);biliary_tract(1);stomach(6);soft_tissue(2);urinary_tract(5);liver(14);prostate(2);pancreas(2);haematopoietic_and_lymphoid_tissue(2);ovary(3);bone(3);breast(6)	1	 The protein encoded by this gene belongs to the TYR family of protein kinases. This tyrosine kinase is a nuclear	13	http://www.ncbi.nlm.nih.gov/pubmed?term=FRK[TIAB]+AND+cancer[MH]				0.044	0.95405	1	../MuPIT_Interactive?gm=chr6:116003979						
TSPYL4	2	MS							64	upper_aerodigestive_tract(4);cervix(3);large_intestine(13);stomach(4);adrenal_gland(1);genital_tract(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(1);peritoneum(1);endometrium(7);biliary_tract(1);oesophagus(3);liver(7);skin(3);lung(3);pancreas(3);prostate(1);thyroid(2);kidney(1);breast(4)	1	No GeneCards annotation	0					0.011	0.99453	1							
TSPYL1	4	II					C1837371	OMIM:608800	83	thyroid(7);upper_aerodigestive_tract(20);large_intestine(14);stomach(3);soft_tissue(2);central_nervous_system(2);cervix(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(2);liver(3);endometrium(4);urinary_tract(2);lung(1);breast(7);skin(3);ovary(4);prostate(1);bone(2);kidney(1);pancreas(3)	1	 The protein encoded by this gene is found in the nucleolus and is similar to that of a family of genes on the	0					0.093	1	1							
DSE	2	MS					C3809845	OMIM:615539	227	large_intestine(27);endometrium(24);lung(18);skin(46);kidney(3);thyroid(1);cervix(6);testis(1);central_nervous_system(5);oesophagus(4);NS(12);upper_aerodigestive_tract(7);biliary_tract(1);stomach(12);soft_tissue(5);urinary_tract(2);liver(12);prostate(7);pancreas(5);small_intestine(1);haematopoietic_and_lymphoid_tissue(5);ovary(5);breast(18)	1	 The protein encoded by this gene is a tumor-rejection antigen. This antigen possesses tumor epitopes capable of	22	http://www.ncbi.nlm.nih.gov/pubmed?term=DSE[TIAB]+AND+cancer[MH]				0.057	0.92622	1							
FAM26F	1	MS							59	thyroid(5);upper_aerodigestive_tract(1);large_intestine(17);stomach(2);cervix(1);haematopoietic_and_lymphoid_tissue(4);biliary_tract(1);endometrium(5);oesophagus(1);liver(6);skin(8);lung(1);ovary(2);breast(3);pancreas(2)	1	No GeneCards annotation	0					0.007	0.99686	1							
FAM26D	1	SY							29	salivary_gland(1);stomach(1);soft_tissue(1);large_intestine(6);endometrium(1);urinary_tract(1);oesophagus(3);breast(1);skin(5);lung(5);NS(1);prostate(1);pancreas(2)	1	No GeneCards annotation	0														
RSPH4A	2	MS					C2675229	OMIM:612649	131	large_intestine(39);pleura(1);endometrium(11);lung(4);skin(15);autonomic_ganglia(1);kidney(1);cervix(3);central_nervous_system(4);oesophagus(7);NS(3);upper_aerodigestive_tract(3);stomach(9);urinary_tract(2);liver(2);prostate(9);pancreas(6);small_intestine(1);haematopoietic_and_lymphoid_tissue(1);ovary(1);bone(1);breast(7)	1	 This gene encodes a protein that appears to be a component the radial spoke head, as determined by homology to	0					0.266	0.634302271838338	1							
